	Basic Conversation	Vasikí Synomilía	Βασική συνομιλία
PREGNANT	I am pregnant	Íme éngios	Είμαι έγκυος
SUFFER_ICD10_T78.4	I am having an allergic reaction	Ého mia allergikí antídrasi	Έχω μία αλλεργική αντίδραση.
SUFFER_ICD10_H81	I feel dizzy.	Zalízome	Ζαλίζομαι
SUFFER_ICD10_E10	I am diabetic	Eho diaviti	Έχω διαβήτη
NEED_INSULIN	I need insulin	Hriazome insulíni	Χρειάζομαι ινσουλίνη
SUFFERED_RAPE	I was raped.	Me ékhun viási	Με έχουν βιάσει
SUFFER_ICD10_R10	I have a stomach ache.	Ponái i kiliá mu	Πονάει η κοιλιά μου
SUFFER_ICD10_R50	I have a fever / a temperature	Ého piretó	Έχω πυρετό
SUFFER_ICD10_R51	I have a headache	ého ponokéfalo	Έχω πονοκέφαλο
SUFFER_ICD10_R05	I have a cough.	ého víkha	Έχω βήχα / Βήχω
CHILD_SUFFER_ICD10_R7.0	My child has a sore throat/ cough	To pedí mu éhi ponólemo / víha	Το παιδί μου έχει πονόλαιμο / βήχα
FLU	cold	kriológima	κρυολόγημα
DIARRHEA	diarrhea	diária	διάρροια
ICD10_K59.0	constipation	diskiliótita	δυσκοιλιότητα
ICD10_B73.3	vaginal yeast infection (thrush)	Kolpikí mykitíasi/kantintíasi	Κολπική μυκητίαση/καντιντίαση
ICD10_B53.3	athlete's foot	míkites	μύκητες
ICD10_B85	head lice	psires sto kefáli	ψείρες στο κεφάλι
			
	Food	Fagitó	Φαγητό
MEAL_NOON	Lunch	mesimeriano	μεσημεριανό
MEAL_EVENING	Dinner	dipno, vradino	Δείπνο, βραδινό
FOOD_HALAL_Q	Is this food Halal?	íne to fagitó Halal?	Είναι το φαγητό Χαλάλ;
ALLERGY_AGAINST_X	I am allergic to….	Ého alergía sto...	Έχω αλλεργία στο..
PORK_MEAT	pork	hirinò	χοιρινό
POULTRY_MEAT	poultry	pulerika	πουλερικά
NO_EAT_PORK	I do not eat pork	Den tróo hirinó	Δεν τρώω χοιρινό
SELF_VEGETARIAN	I am a vegetarian.I don’t eat meat and fish.	íme hortofágos. Den tróo kréas ke psári.	Είμαι χορτοφάγος. Δεν τρώω κρέας και ψάρι.
SELF_VEGAN	I am a vegan	íme vígan	Eίμαι βίγκαν
FISH	fish	psàri	ψάρι 
BREAD	bread	psomì	ψωμί
WATER	water	Neró	Νερό
LEMONADE	lemonade	lemonáda	λεμονάδα
MILK	milk	gàla	γάλα
COFFEE	coffee	kafè	καφέ
TEA	tea	tsài	τσάι
BEER	beer	mpira	μπύρα
FRUITS	fruit	frouta	φρούτα
APPLE	apple	mìlo	μήλο
PEAR	pear	ahladi	αχλάδι
GRAPEFRUIT	grapefruit	grapefruit	γκρέιπφρουτ
APRICOT	apricot	verikoko	βερίκοκο
POTATOE	potatoes [pl]	patàtes	πατάτες
BEAN	beans [pl]	fasolia	φασόλια
PEA	peas [pl]	arakas	αρακάς
CHICKPEA	chickpeas [pl]	revithia	ρεβύθια
AUBERGINE	eggplant (US) / aubergine (UK)	melitzana	μελιτζάνα
CARROT	carrots [pl]	karota	καρότα
TOMATO	tomatoes [pl]	domates	ντομάτες
TURNIP	turnip	rapanaki	ραπανάκι
FLOUR	flour	alevri	αλεύρι
HONEY	honey	meli	μέλι
CHEESE	cheese	tiri	τυρί
QUARK	quark / cottage cheese 	cottage cheese (same as in english)	cottage cheese
PAPRIKA	paprika	paprika	πάπρικα
SAUCE	sauce	saltsa	σάλτσα
BUTTER	butter	vutiro	βούτυρο
OIL	oil	ladi	λάδι
CHEWING_GUM	chewing gum	tsihla	τσίχλα
SPOON	spoon	kutali	κουτάλι
KNIFE	knife	maheri	μαχαίρι
PLATE	plate	piato	πιάτο
GLASS	glass (to drink from)	potiri	ποτήρι
MUG	mug	kupa	κούπα
TEAPOT	teapot 	tsagiéra	τσαγιέρα
			
	Clothing	Rouha	Ρούχα
SHIRT	shirt	pu'kamiso	πουκάμισο
DRESS	Dress	fórema	φόρεμα
SKIRT	skirt	foosta	φούστα
TROUSERS	trousers (UK) / pants (US)	panteloni	παντελόνι
PULLOVER	jumper (UK) / sweater / pullover	poulover	πουλόβερ
COAT	jacket / coat	zaketa- palto	ζακέτα-παλτό
HEADSCARF	veil / hijab / headscarf	peplo / madíla	πέπλο / μαντήλα
SHOE	shoes [pl]	paputsia	παπούτσια
GLOVE	gloves [pl]	gantia	γάντια
SOCK	socks [pl]	kaltses	κάλτσες
UNDERWEAR	underwear	esoruha	εσώρουχα
			
	Misc	Diafora	Διάφορα
BED	bed	krevati	κρεβάτι
BLANKET	blanket	kouverta	κουβέρτα
LAMP	lamp	lampa	λάμπα
TELEPHONE	telephone	tilefono	τηλέφωνο
CELLPHONE	mobile phone / cellphone	kinito tilefono	κινητό τηλέφωνο
ELECTRICITY	electricity	ilektrizmos	ηλεκτρισμός
COMPUTER	computer	upologistis	υπολογιστής
INTERNET_CONNECTION	internet connection	diadiktiaki sindesi	διαδικτυακή σύνδεση
BATTERY	battery	bataria	μπαταρία
ROOM	room	domatio	δωμάτιο
CHAIR	chair	karekla	καρέκλα
TABLE	table	trapezi	τραπέζι
TOILET	toilet	toualeta	τουαλέτα
TOILET_PAPER	toilet paper	harti tualetas	χαρτί τουαλέτας
TOOTHBRUSH	toothbrush	odontovurtsa	οδοντόβουρτσα
TOOTHPASTE	toothpaste	odontopasta	οδοντόπαστα
SHOWER	shower	duz	ντους
BATHTUB	bathtub	baniera	μπανιέρα
SOAP	soap	sapouni	σαπούνι
SHAMPOO	shampoo	sampuan	σαμπουάν
HANDKERCHIEF	tissue / handkerchief	hartomantilo	χαρτομάντηλο
CUPBOARD	cupboard	dulapi	ντουλάπι
DOOR	door	porta	πόρτα
WINDOW	window	parathiro	παράθυρο
WALL	wall	tihos	τοίχος
HOUSE	house	spiti	σπίτι
APARTMENT	apartment / flat	diamerisma	διαμέρισμα
BOOK	book	vivlio	βιβλίο
NEWSPAPER	newspaper	efimerida	εφημερίδα
RADIO	radio	radiophono	ραδιόφωνο
TELEVISION	television	tileorasi/TV	τηλεόραση
