PORK_MEAT	pork	لحم خنزير 	لحم خنزير	lahem khanzir
POULTRY_MEAT	poultry	طيور	طيور	Dawajen
NO_EAT_PORK	I do not eat pork	ما  بلكل لحم الخنزير 	أنا لا آكل لحم الخنزير	la akol lahem alkhanzir
SELF_VEGETARIAN	I am a vegetarian.I don’t eat meat and fish.	انا نباتي. ما باكل لحمة ولا سمك	انا نباتي لا اكل لحمة ولا سمك	ana nabáti
SELF_VEGAN	I am a vegan	انا فيغان 	انا خـُضري	Ana fighan
FISH	fish	السمك 	سمك	- Samak
BREAD	bread	 خبز	خبز	AL khubz /  'aysh
WATER	water	 مي	ماء	m'a, miyah   / Mai
LEMONADE	lemonade	ليموناضة 	ليموناضة	limonada
MILK	milk	الحليب	حليب	Al labn/al halib
COFFEE	coffee	القهوة	قهوة	Al qahwa
TEA	tea	الشاي	شاي	Al shaay
BEER	beer	البيرة	بيرة	Al-beera
FRUITS	fruit	الفاكهة	فاكهة	Fakiha
APPLE	apple	التفاح	تفاح	Al tufah
PEAR	pear	اجاص/ كمثرى	اجاص/ كمثرى	Alijas/ Kamthari
GRAPEFRUIT	grapefruit	الجريب فروت	جريبفروت	AL grib fruut
APRICOT	apricot	المشمش	مشمش	AL mushmush
POTATOE	potatoes [pl]	البطاطا	بطاطا	Battatta
BEAN	beans [pl]	فاصولياء /فول	فاصوليا خضراء	Fasoulia'a / Foul
PEA	peas [pl]	البازلاء/ البسلة	بازلاء	Bazila 
CHICKPEA	chickpeas [pl]	حمص حب	حمص	Hommos
AUBERGINE	eggplant (US) / aubergine (UK)	باتنجان	باذنجان	batnjan
CARROT	carrots [pl]	الجزر	جزر	Jazar
TOMATO	tomatoes [pl]	الطماطم (البندورة)	طماطم (بنادورة)	Tamatem / Banadoura
TURNIP	turnip	اللفت	لفت	Lefft
FLOUR	flour	طحين	طحين	taheen
HONEY	honey	العسل	عسل	Aassal
CHEESE	cheese	الجبن	جبنة	Jobn
QUARK	quark / cottage cheese 	جبن قريش	لبنة	Jobn Qarish
PAPRIKA	paprika	فليفلة حلوة	فلفل أخضر	Flailfle
SAUCE	sauce	صلصة	صلصة	Salsa
BUTTER	butter	زبدة	زبدة	Zoubda
OIL	oil	زيت	زيت	Zait
CHEWING_GUM	chewing gum	العلكة (اللبان)	علكة (لبان)	E'lka
SPOON	spoon	معلقة 	ملعقة	ma'laka
KNIFE	knife	 سكين	سكين	sekena / Sikkin
PLATE	plate	طبق/ صحن 	طبق	tabak / sahen 
GLASS	glass (to drink from)	كباية 	كأس	Koubaya  / Kasse
MUG	mug	كاسة	كاسة	Kassa
TEAPOT	teapot 	ابريق شاي	ابريق شاي	Ebrek shaye
				
	Clothing	أواعي	ملابس	Awa-i /Malabes
SHIRT	shirt	قميص 	قميص	 qamís
DRESS	Dress	فستان 	فستان	fustan
SKIRT	skirt	تنورة 	تنورة	Tanoura
TROUSERS	trousers (UK) / pants (US)	بِنْطلون	بِنْطال/ سروال	Sirwal / Bantalon
PULLOVER	jumper (UK) / sweater / pullover	كنزة صوف	كنزة صوف	kanzet souf
COAT	jacket / coat	جاكِيت	جاكِيت/ مِعْطَف	Jaket / Mi'itaf
HEADSCARF	veil / hijab / headscarf	الحجاب	حجاب	Hijab / Khimar
SHOE	shoes [pl]	أحذية/ صباطات	حذاء	Ahzia/ sabbatat
GLOVE	gloves [pl]	قفازات	قفازات	Qafazat
SOCK	socks [pl]	كلسات	كلسات	kalsat
UNDERWEAR	underwear	ملابس داخلية	ملابس داخلية	Malabis Dakhiliya
				
	Misc		أثاث	athath
BED	bed	تخت - سرير	سرير	Takhet / Sarrir
BLANKET	blanket	بطانية 	بطانية	bataneya
LAMP	lamp	مصباح / لمبة	مصباح	misbah / lamba
TELEPHONE	telephone	تلفون -	تلفون - هاتف	Telephon / Jawal / Hatef
CELLPHONE	mobile phone / cellphone	جوال / موبايل 	هاتف جوال	Jawal / Mobile
ELECTRICITY	electricity	كهرباء	كهرباء	Kahraba
COMPUTER	computer	كمبيوتر - حاسوب	كمبيوتر, حاسوب	Hassoub/ kombuter
INTERNET_CONNECTION	internet connection	 اتصال باانترنت	اتصال بالإنترنت	Etesal bl internet 
BATTERY	battery	بطارية	بطارية	Battariya
ROOM	room	غرفة	غرفة	Ghourfah
CHAIR	chair	كرسي	كرسي	Kourssi
TABLE	table	طاولة	طاولة	Tawla
TOILET	toilet	حمام 	حمام	hammam
TOILET_PAPER	toilet paper	ورق تواليت 	ورق تواليت	Warak tawalet
TOOTHBRUSH	toothbrush	فرشاة اسنان	فرشاة اسنان	fourchat assnan
TOOTHPASTE	toothpaste	معجون اسنان	معجون اسنان	maajoun assnan
SHOWER	shower	دوش / حمام	دوش / حمام	hamam/ dush
BATHTUB	bathtub	مغطس// بانيو  	مغطس	Maghtas
SOAP	soap	صابونة	صابون	sabona
SHAMPOO	shampoo	شامبو 	شامبو	shampoo
HANDKERCHIEF	tissue / handkerchief	 المحارم 	محارم ورقية	maharem / mandil
CUPBOARD	cupboard	خزانة 	خزانة	Khizana
DOOR	door	باب	باب	Bab
WINDOW	window	نافذة\ شباك	نافذة	Nafeza/shebbak
WALL	wall	حيط	حائط	Ha'et
HOUSE	house	منزل	منزل	Manzel
APARTMENT	apartment / flat	شقة	شقة	Sha'a
BOOK	book	كتاب	كتاب	Ketab
NEWSPAPER	newspaper	جريدة	جريدة	Jaredeh
RADIO	radio	 رلديو	مذياع / راديو	Mzyaa  / Radio
TELEVISION	television	تلفاز	تلفاز / رائي	Telfaz
