EXPERIENCE_HAPPINESS	I’m happy.	நான் பயந்துவிட்டேன்.	Nāṉ payantuviṭṭēṉ.
SUFFER_FEAR	I’m scared.	நான் சோகமாக இருக்கிறேன்.	Nāṉ cōkamāka irukkiṟēṉ.
SUFFER_SADNESS	I’m sad.	நான் உன்னை விரும்புகிறேன்.	Nāṉ uṉṉai virumpukiṟēṉ.
EXPERIENCE_LIKING_ADDRESSEE	I like you.	கவலைப்பட வேண்டாம்	Kavalaippaṭa vēṇṭām
DONT_WORRY	Don’t worry	நான் ஒரு சந்திப்பு விரும்புகிறேன்.	Nāṉ oru cantippu virumpukiṟēṉ.
NEED_APPOINTMENT	I would like an appointment.	எங்கே அறை எண் ____ உள்ளது?	Eṅkē aṟai eṇ ____ uḷḷatu?
ROOM_NUMBER_N_LOCATION_Q	Where is room number ____?	எங்கே பதிவு மையமாக உள்ளது?	Eṅkē pativu maiyamāka uḷḷatu?
REGISTRATION_CENTRE_LOCATION_Q	Where is the registration centre?	நீங்கள் காத்திருக்க வேண்டும்	Nīṅkaḷ kāttirukka vēṇṭum
MUST_WAIT	You have to wait	எத்தனை காலம் நாங்கள் இங்கே காத்திருக்க வேண்டும்?	ettaṉai kālam nāṅkaḷ iṅkē kāttirukka vēṇṭum?
WAITING_TIME_DURATION_Q	How long do we have to wait here?	ஒரு நாள்	Oru nāḷ
1_DAY	one day	ஒரு மணி நேரம்	oru maṇi nēram
1_HOUR	one hour	ஒரு மாதம்	oru mātam
1_MONTH	one month	மிக விரைவில்	mika viraivil
VERYSOON	very soon	நாளை	nāḷai
TOMORROW	tomorrow	நாளை மறுநாள்	nāḷai maṟunāḷ
DAY_AFTER_TOMORROW	the day after tomorrow	அடுத்த வாரம்	aṭutta vāram
NEXT_WEEK	next week	நான் விரைவில் திரும்பி	nāṉ viraivil tirumpi
RETURN_SOON	I will be back soon	ஒன்று இரண்டு மூன்று நான்கு ஐந்து ஆறு ஏழு எட்டு ஒன்பது பத்து	oṉṟu iraṇṭu mūṉṟu nāṉku aintu āṟu ēḻu eṭṭu oṉpatu pattu
ONE	one	ன்று 	oṉṟu
TWO	two	ரண்டு 	iraṇṭu
THREE	three	ூன்று 	mūṉṟu
FOUR	four	ான்கு 	nāṉku
FIVE	five	ந்து 	aintu
SIX	six	று 	āru
SEVEN	seven	ழு 	ēḻu
EIGHT	eight	ட்டு 	eṭṭu
NINE	nine	ன்பது 	oṉpatu
TEN	ten	த்து 	paththu
MONDAY	Monday	திங்கள் 	tiṅkaḷ 
TUESDAY	 Tuesday	செவ்வாய் 	cevvāy 
WEDNESDAY	 Wednesday	புதன் 	putaṉ 
THURSDAY	 Thursday	வியாழன் 	viyāḻaṉ 
FRIDAY	 Friday	வெள்ளி 	veḷḷi 
SATURDAY	 Saturday	சனி 	caṉi 
SUNDAY	 Sunday	ஞாயிறு	ñāyiṟu
JANUARY	January	ஜனவரி	jaṉavari
FEBRUARY	 February	 பிப்ரவரி	 pipravari
MARCH	 March	 மார்ச்	 mārc
APRIL	 April	 ஏப்ரல்	 ēpral
MAY	 May	 மே	 mē
JUNE	 June	 ஜூன்	 jūṉ
JULY	 July	 ஜூலை	 jūlai
AUGUST	 August	 ஆகஸ்ட்	 ākasṭ
SEPTEMBER	 September	 செப்டம்பர்	 cepṭampar
OCTOBER	 October	 அக்டோபர்	 akṭōpar
NOVEMBER	 November	 நவம்பர்	 navampar
DECEMBER	 December	 டிசம்பர்	 ṭicampar
	Medical Terms		
NEED_DOCTOR	I need a doctor		
SUFFER_ICD10_R11	I feel sick/ I don't feel well 		
EXPERIENCE_ILLNESS	I’m ill / I’m sick		
CHILD_ILL	(My child) is sick		
PREGNANT	I am pregnant		
SUFFER_ICD10_T78.4	I am having an allergic reaction		
SUFFER_ICD10_H81	I feel dizzy.		
SUFFER_ICD10_E10	I am diabetic		
NEED_INSULIN	I need insulin		
SUFFERED_RAPE	I was raped.		
SUFFER_ICD10_R10	I have a stomach ache.		
SUFFER_ICD10_R50	I have a fever / a temperature		
SUFFER_ICD10_R51	I have a headache		
SUFFER_ICD10_R05	I have a cough.		
CHILD_SUFFER_ICD10_R7.0	My child has a sore throat/ cough		
FLU	cold		
DIARRHEA	diarrhea		
ICD10_K59.0	constipation		
ICD10_B73.3	vaginal yeast infection (thrush)		
ICD10_B53.3	athlete's foot		
ICD10_B85	head lice		
			
	Food		
MEAL_NOON	Lunch		
MEAL_EVENING	Dinner		
FOOD_HALAL_Q	Is this food Halal?		
ALLERGY_AGAINST_X	I am allergic to….		
PORK_MEAT	pork		
POULTRY_MEAT	poultry		
NO_EAT_PORK	I do not eat pork		
SELF_VEGETARIAN	I am a vegetarian.I don’t eat meat and fish.		
SELF_VEGAN	I am a vegan		
FISH	fish		
BREAD	bread		
WATER	water		
LEMONADE	lemonade		
MILK	milk		
COFFEE	coffee		
TEA	tea		
BEER	beer		
FRUITS	fruit		
APPLE	apple		
PEAR	pear		
GRAPEFRUIT	grapefruit		
APRICOT	apricot		
POTATOE	potatoes [pl]		
BEAN	beans [pl]		
PEA	peas [pl]		
CHICKPEA	chickpeas [pl]		
AUBERGINE	eggplant (US) / aubergine (UK)		
CARROT	carrots [pl]		
TOMATO	tomatoes [pl]		
TURNIP	turnip		
FLOUR	flour		
HONEY	honey		
CHEESE	cheese		
QUARK	quark / cottage cheese 		
PAPRIKA	paprika		
SAUCE	sauce		
BUTTER	butter		
OIL	oil		
CHEWING_GUM	chewing gum		
SPOON	spoon		
KNIFE	knife		
PLATE	plate		
GLASS	glass (to drink from)		
MUG	mug		
TEAPOT	teapot 		
			
	Clothing		
SHIRT	shirt		
DRESS	Dress		
SKIRT	skirt		
TROUSERS	trousers (UK) / pants (US)		
PULLOVER	jumper (UK) / sweater / pullover		
COAT	jacket / coat		
HEADSCARF	veil / hijab / headscarf		
SHOE	shoes [pl]		
GLOVE	gloves [pl]		
SOCK	socks [pl]		
UNDERWEAR	underwear		
			
	Misc		
BED	bed		
BLANKET	blanket		
LAMP	lamp		
TELEPHONE	telephone		
CELLPHONE	mobile phone / cellphone		
ELECTRICITY	electricity		
COMPUTER	computer		
INTERNET_CONNECTION	internet connection		
BATTERY	battery		
ROOM	room		
CHAIR	chair		
TABLE	table		
TOILET	toilet		
TOILET_PAPER	toilet paper		
TOOTHBRUSH	toothbrush		
TOOTHPASTE	toothpaste		
SHOWER	shower		
BATHTUB	bathtub		
SOAP	soap		
SHAMPOO	shampoo		
HANDKERCHIEF	tissue / handkerchief		
CUPBOARD	cupboard		
DOOR	door		
WINDOW	window		
WALL	wall		
HOUSE	house		
APARTMENT	apartment / flat		
BOOK	book		
NEWSPAPER	newspaper		
RADIO	radio		
TELEVISION	television		
