SELF_VEGAN	I am a vegan	Jam vegan(e)	Ja sam vegan (m) / veganka (f).
FISH	fish	peshk	riba
BREAD	bread	bukë	kruh / hljeb / hleb
WATER	water	Ujë	voda
LEMONADE	lemonade	limonatë	limunada
MILK	milk	Qumësht	mlijeko / mleko
COFFEE	coffee	kafe	kava / kafa
TEA	tea	çaj	čaj
BEER	beer	birrë	pivo
FRUITS	fruit	frut	voće
APPLE	apple	mollë	jabuka
PEAR	pear	dardhë	kruška
GRAPEFRUIT	grapefruit	grejpfrut	grejpfrut
APRICOT	apricot	kajsi	marelica / kajsija
POTATOE	potatoes [pl]	patate	krumpir / krompir
BEAN	beans [pl]	Mashurka/bishtaja	grah / boranija
PEA	peas [pl]	bizele	grašak
CHICKPEA	chickpeas [pl]	Qiqra	slanutak / leblebija
AUBERGINE	eggplant (US) / aubergine (UK)	patëllxhan	patlidžan
CARROT	carrots [pl]	karrota	mrkve / šargarepe
TOMATO	tomatoes [pl]	domate	rajčice / paradajz
TURNIP	turnip	rrepë	repa
FLOUR	flour	miell	brašno
HONEY	honey	mjaltë	med
CHEESE	cheese	dhjathë	sir
QUARK	quark / cottage cheese 	gjizë	svježi sir (sveži sir)
PAPRIKA	paprika	spec	paprika
SAUCE	sauce	salcë	umak (sos)
BUTTER	butter	gjalp	maslac
OIL	oil	vaj	ulje
CHEWING_GUM	chewing gum	çamçakiz	žvakaća guma (kauguma)
SPOON	spoon	lugë	žlica (kašika)
KNIFE	knife	thikë	nož
PLATE	plate	pjatë	tanjur (tanjir)
GLASS	glass (to drink from)	gotë	čaša
MUG	mug	kupë	vrč (krigla, šolja)
TEAPOT	teapot 	ibrik çaji	čajnik
			
	Clothing	Veshje	Odjeća / Odeća
SHIRT	shirt	Këmishë	košulja
DRESS	Dress	Fustan	haljina
SKIRT	skirt	Fund	suknja
TROUSERS	trousers (UK) / pants (US)	pantallona	hlače (pantalone)
PULLOVER	jumper (UK) / sweater / pullover	pulovër	džemper
COAT	jacket / coat	xhaketë	jakna
HEADSCARF	veil / hijab / headscarf	perçe / Shami	veo
SHOE	shoes [pl]	këpucë	cipele
GLOVE	gloves [pl]	dorashka	rukavice
SOCK	socks [pl]	corapë	čarape
UNDERWEAR	underwear	brekë / mbathje	donje rublje (donji veš)
			
	Misc	Të ndryshme	Razno
BED	bed	krevat	krevet
BLANKET	blanket	kuvertë / batanije	deka (prekrivač, ćebe)
LAMP	lamp	llampë	svjetiljka / lampa
TELEPHONE	telephone	telefon	telefon
CELLPHONE	mobile phone / cellphone	celular	mobitel / mobilni telefon
ELECTRICITY	electricity	elektricitet	struja
COMPUTER	computer	kompiuter	računalo / računar (kompjuter)
INTERNET_CONNECTION	internet connection	Lidhje Interneti	internetska veza (internet konekcija)
BATTERY	battery	bateri	baterija
ROOM	room	dhomë	soba
CHAIR	chair	karrige	stolica
TABLE	table	tavolinë	stol / sto
TOILET	toilet	tualet	WC / Toalet
TOILET_PAPER	toilet paper	letra banjoje	toalet papir
TOOTHBRUSH	toothbrush	furçë dhëmbësh	četkica za zube
TOOTHPASTE	toothpaste	pastë dhëmbësh	pasta za zube
SHOWER	shower	dush	tuš
BATHTUB	bathtub	vask	kada
SOAP	soap	sapun	sapun
SHAMPOO	shampoo	shampo	šampon
HANDKERCHIEF	tissue / handkerchief	shami dore	papirnate maramice
CUPBOARD	cupboard	dollap	ormarić
DOOR	door	derë	vrata
WINDOW	window	dritare	prozor
WALL	wall	mur	zid
HOUSE	house	shtëpi	kuća
APARTMENT	apartment / flat	banesë	stan
BOOK	book	libër	knjiga
NEWSPAPER	newspaper	gazetë	novine
RADIO	radio	radio	radio
TELEVISION	television	televizor	televizor
