TOOTHBRUSH	toothbrush	برس دندان / مسواک	bors dandaan / maswaak
TOOTHPASTE	toothpaste	خمیردندان	khamir dandon
SHOWER	shower	شاور	shaawar
BATHTUB	bathtub	تب	tab
SOAP	soap	صابون 	saaboon
SHAMPOO	shampoo	شامپو	shaampoo
HANDKERCHIEF	tissue / handkerchief	دستمال	dastmaal
CUPBOARD	cupboard	الماری	almari
DOOR	door	دروازه	darwaaza
WINDOW	window	کلکین	kelkin
WALL	wall	دیوار	deewaar
HOUSE	house	خانه	khaanah
APARTMENT	apartment / flat	آپارتمان	Apaartemaan
BOOK	book	کتاب	kitaab
NEWSPAPER	newspaper	روزنامه	roznaamah
RADIO	radio	رادیو	radio
TELEVISION	television	تلویزیون	talwiziyun
